date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:33:16	234130/234130	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2017:03:35%20GMT	https://clear2close.us/	C:/My%20Web%20Sites/real%20estate/clear2close.us/index.html	(from )
22:33:18	169/169	---MCZ	200	added ('OK')	text/plain	date:Wed,%2004%20Jan%202023%2017:03:38%20GMT	https://clear2close.us/robots.txt		(from )
22:33:19	146/146	---M--	403	error ('Forbidden')	text/html	date:Wed,%2004%20Jan%202023%2017:03:39%20GMT	https://clear2close.us/xmlrpc.php	C:/My%20Web%20Sites/real%20estate/clear2close.us/xmlrpc.php	(from https://clear2close.us/)
22:33:19	86450/86450	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22065108eec06d32512ae67063daa848c5-gzip%22	https://clear2close.us/feed/	C:/My%20Web%20Sites/real%20estate/clear2close.us/feed/index.html	(from https://clear2close.us/)
22:33:19	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2263031ef6-24d3%22	https://clear2close.us/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://clear2close.us/)
22:33:23	34350/34350	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263031ef7-862e%22	http://clear2close.us/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	(from https://clear2close.us/)
22:33:23	92564/92564	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263031ef7-16994%22	http://clear2close.us/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	(from https://clear2close.us/)
22:33:23	479778/479778	---MCZ	200	added ('OK')	text/css	etag:W/%229ef23cd6b44244d8f533195051d73081%22	https://hb.wpmucdn.com/clear2close.us/740f493e-533e-4818-a414-69cd47616a79.css	C:/My%20Web%20Sites/real%20estate/hb.wpmucdn.com/clear2close.us/740f493e-533e-4818-a414-69cd47616a79.css	(from https://clear2close.us/)
22:33:23	785/785	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22065108eec06d32512ae67063daa848c5-gzip%22	https://clear2close.us/comments/feed/	C:/My%20Web%20Sites/real%20estate/clear2close.us/comments/feed/index.html	(from https://clear2close.us/)
22:33:23	91248/91248	---MCZ	200	added ('OK')	text/css	etag:W/%2264772bbdb06c1256d5c3976d8a8f8cbe%22	https://hb.wpmucdn.com/clear2close.us/8dd5105c-6b0f-4a43-a499-0679078338ec.css	C:/My%20Web%20Sites/real%20estate/hb.wpmucdn.com/clear2close.us/8dd5105c-6b0f-4a43-a499-0679078338ec.css	(from https://clear2close.us/)
22:33:25	56526/56526	---MCZ	200	added ('OK')	application/json	date:Wed,%2004%20Jan%202023%2017:03:44%20GMT	https://clear2close.us/wp-json/wp/v2/pages/50475	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-json/wp/v2/pages/50475.json	(from https://clear2close.us/)
22:33:25	199820/199820	---MCZ	200	added ('OK')	application/json	date:Wed,%2004%20Jan%202023%2017:03:45%20GMT	https://clear2close.us/wp-json/	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-json/index.html	(from https://clear2close.us/)
22:33:26	146/146	---M--	403	error ('Forbidden')	text/html	date:Wed,%2004%20Jan%202023%2017:03:46%20GMT	https://clear2close.us/xmlrpc.php?rsd	C:/My%20Web%20Sites/real%20estate/clear2close.us/xmlrpc.70db0.delayed	(from https://clear2close.us/)
22:33:26	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b7-415%22	https://clear2close.us/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-includes/wlwmanifest.xml	(from https://clear2close.us/)
22:33:26	2373/2373	---MCZ	200	added ('OK')	application/json	date:Wed,%2004%20Jan%202023%2017:03:46%20GMT	https://clear2close.us/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fclear2close.us%2F	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-json/oembed/1.0/embed55c4.json	(from https://clear2close.us/)
22:33:27	2448/2448	---MCZ	200	added ('OK')	text/xml	date:Wed,%2004%20Jan%202023%2017:03:47%20GMT	https://clear2close.us/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fclear2close.us%2F&format=xml	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-json/oembed/1.0/embed545a	(from https://clear2close.us/)
22:33:27	793/793	---M--	200	added ('OK')	image/png	etag:%2263036462-319%22	https://clear2close.us/wp-content/uploads/2022/08/fav.png	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-content/uploads/2022/08/fav.png	(from https://clear2close.us/)
22:33:27	2528/2528	---MCZ	200	added ('OK')	text/css	etag:W/%2263adb36c-9e0%22	https://clear2close.us/wp-content/et-cache/50475/et-core-unified-50475.min.css?ver=1672328044	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-content/et-cache/50475/et-core-unified-50475.mine9c3.css	(from https://clear2close.us/)
22:33:28	17267/17267	---MCZ	200	added ('OK')	text/css	etag:W/%2263adb36c-4373%22	https://clear2close.us/wp-content/et-cache/50475/et-core-unified-tb-50327-deferred-50475.min.css?ver=1672328044	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-content/et-cache/50475/et-core-unified-tb-50327-deferred-50475.mine9c3.css	(from https://clear2close.us/)
22:33:28	1821/1821	---M--	200	added ('OK')	image/png	etag:%22630e71bd-71d%22	https://clear2close.us/wp-content/uploads/2022/08/logo.png	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-content/uploads/2022/08/logo.png	(from https://clear2close.us/)
22:33:28	15733/15733	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2017:03:48%20GMT	https://clear2close.us/payment/make-a-payment.php	C:/My%20Web%20Sites/real%20estate/clear2close.us/payment/make-a-payment.html	(from https://clear2close.us/)
22:33:30	192443/192443	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2017:03:48%20GMT	https://clear2close.us/title-escrow/	C:/My%20Web%20Sites/real%20estate/clear2close.us/title-escrow/index.html	(from https://clear2close.us/)
22:33:30	187808/187808	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2017:03:50%20GMT	https://clear2close.us/survey-deletion-coverage/	C:/My%20Web%20Sites/real%20estate/clear2close.us/survey-deletion-coverage/index.html	(from https://clear2close.us/)
22:33:31	53440/53440	---M--	200	added ('OK')	image/jpeg	etag:%2263034710-d0c0%22	https://clear2close.us/wp-content/uploads/2022/08/appraisal-image-01.jpg	C:/My%20Web%20Sites/real%20estate/clear2close.us/wp-content/uploads/2022/08/appraisal-image-01.jpg	(from https://clear2close.us/)
